"store","min_date","max_date","station","name","lat","lon","dist"
15,"2017-03-15","2019-03-30","UKE00115811","LOWESTOFT MONKTON AVENUE",52.4831,1.7308,144.893025153851
15,"2017-03-15","2019-03-30","UKE00105899","LOWESTOFT",52.4889,1.75,146.111395088123
15,"2017-03-15","2019-03-30","UKW00015037","UPPER HEYFORD",51.9333,-1.25,147.235972609837
15,"2017-03-15","2019-03-30","UKE00105925","LECKFORD",51.1231,-1.4381,149.049626294186
15,"2017-03-15","2019-03-30","UKE00108855","TERRINGTON ST CLEMENT",52.745,0.29,156.62451452665
15,"2017-03-15","2019-03-30","FRM00007005","ABBEVILLE",50.143,1.832,157.699525614815
15,"2017-03-15","2019-03-30","FRE00104036","ABBEVILLE",50.1358,1.8339,158.457016346282
15,"2017-03-15","2019-03-30","UKW00015036","OXFORD",51.75,-1.5833,161.85874473805
15,"2017-03-15","2019-03-30","UKE00156880","WIGHT ST CATHERINES POINT",50.575,-1.2956,162.773842538976
15,"2017-03-15","2019-03-30","UKW00035036","SCULTHORPE",52.85,0.7667,166.254727350294
15,"2017-03-15","2019-03-30","UKE00156836","BOSCOMBE DOWN",51.1614,-1.7531,170.021211624437
15,"2017-03-15","2019-03-30","UKE00105924","EVERTON",50.7417,-1.5739,171.104502987605
16,"2018-09-10","2019-03-30","UKE00105927","ALICE HOLT LODGE",51.1767,0.8481,17.7152804054659
16,"2018-09-10","2019-03-30","UKE00105917","WYE",51.185,0.9481,18.224679390503
16,"2018-09-10","2019-03-30","UKE00105926","HAYLING ISLAND",50.7839,0.9839,27.0110658863777
16,"2018-09-10","2019-03-30","UKE00105921","HASTINGS",50.855,0.5717,30.2996034149938
16,"2018-09-10","2019-03-30","UKE00105919","BOGNOR REGIS",50.7808,0.6758,31.6045934597986
16,"2018-09-10","2019-03-30","UKE00105657","GOUDHURST",51.08,0.46,32.2754482497429
16,"2018-09-10","2019-03-30","UKE00156884","WISLEY",51.3103,0.4744,44.2368470407554
16,"2018-09-10","2019-03-30","UKW00035054","WEST MALLING",51.2833,0.4,46.0273404122654
16,"2018-09-10","2019-03-30","UKE00105918","MANSTON",51.3458,1.34,46.6760431814192
16,"2018-09-10","2019-03-30","UKW00035047","MANSTON",51.35,1.3667,48.2355910453178
16,"2018-09-10","2019-03-30","UKE00105920","EASTBOURNE",50.7589,0.285,52.8953954063199
16,"2018-09-10","2019-03-30","UKE00107650","HEATHROW",51.4789,0.4489,60.1310531070376
16,"2018-09-10","2019-03-30","UKE00105915","HAMPSTEAD",51.5608,0.1789,78.6392645652383
16,"2018-09-10","2019-03-30","UKE00105901","WRITTLE",51.7317,0.4308,85.6444166841731
16,"2018-09-10","2019-03-30","UKE00105900","ROTHAMSTED",51.8067,0.3581,95.2894314820823
16,"2018-09-10","2019-03-30","UKE00105897","EAST BERGHOLT",51.9589,1.0267,104.408455338702
16,"2018-09-10","2019-03-30","UKM00003772","HEATHROW",51.478,-0.461,108.182295146094
16,"2018-09-10","2019-03-30","UKW00035050","WETHERSFIELD",51.9667,0.5,108.793347181248
16,"2018-09-10","2019-03-30","UKE00156888","WOBURN",52.0142,0.5942,112.437980454421
16,"2018-09-10","2019-03-30","FRM00007005","ABBEVILLE",50.143,1.832,117.387167223762
16,"2018-09-10","2019-03-30","FRE00104036","ABBEVILLE",50.1358,1.8339,118.131588112702
16,"2018-09-10","2019-03-30","UKE00105898","WATTISHAM",52.1231,0.9617,122.414547937036
16,"2018-09-10","2019-03-30","UKW00035051","WOODBRIDGE",52.0833,1.4,122.660541502245
16,"2018-09-10","2019-03-30","UKM00003590","WATTISHAM",52.127,0.956,122.837797362827
16,"2018-09-10","2019-03-30","UKW00035048","BENTWATERS",52.1333,1.4333,128.635017452555
16,"2018-09-10","2019-03-30","UKW00015018","BASSINGBOURN",52.1,0.05,133.81712164184
16,"2018-09-10","2019-03-30","UKE00105648","CAMBRIDGE (B. GDNS)",52.1931,0.1317,140.879291323961
16,"2018-09-10","2019-03-30","UKW00035049","STANTON",52.3167,0.9167,143.895182224183
16,"2018-09-10","2019-03-30","UKW00015015","CHELVESTON",52.3,0.5333,144.42707743613
16,"2018-09-10","2019-03-30","UKE00105003","CAMBRIDGE NIAB",52.245,0.1031,146.954858587508
16,"2018-09-10","2019-03-30","UKW00035046","MILDENHALL",52.3667,0.4833,152.355164129126
16,"2018-09-10","2019-03-30","UKE00105922","WALLINGFORD",51.6031,-1.1081,154.563993401244
16,"2018-09-10","2019-03-30","UKW00035034","LAKENHEATH RAF",52.4,0.5667,155.0003482648
16,"2018-09-10","2019-03-30","UKW00015014","MOLESWORTH",52.3833,0.4167,155.111136178681
16,"2018-09-10","2019-03-30","UKW00015033","HUNTINGTON",52.3667,0.2167,156.961275387321
16,"2018-09-10","2019-03-30","UKW00015034","WYTON",52.35,0.1167,157.463886898148
16,"2018-09-10","2019-03-30","UKW00015040","GREENHAM",51.3833,-1.2833,158.154272723749
16,"2018-09-10","2019-03-30","UKE00156864","MONKS WOOD",52.4008,0.2353,160.192471953656
16,"2018-09-10","2019-03-30","FRM00007015","LESQUIN",50.562,3.089,161.316505531206
16,"2018-09-10","2019-03-30","FRE00104040","LILLE-LESQUIN",50.57,3.0975,161.59143398449
16,"2018-09-10","2019-03-30","UKE00156880","WIGHT ST CATHERINES POINT",50.575,-1.2956,162.97343245912
16,"2018-09-10","2019-03-30","UKE00105925","LECKFORD",51.1231,-1.4381,164.611496813039
16,"2018-09-10","2019-03-30","FRE00104975","AMIENS-GLISY",49.8717,2.385,165.060252738527
16,"2018-09-10","2019-03-30","UKE00115811","LOWESTOFT MONKTON AVENUE",52.4831,1.7308,171.883323339128
16,"2018-09-10","2019-03-30","UK000056225","OXFORD",51.7667,-1.2667,172.349104225052
16,"2018-09-10","2019-03-30","UKE00105899","LOWESTOFT",52.4889,1.75,172.927421492743
16,"2018-09-10","2019-03-30","UKE00105924","EVERTON",50.7417,-1.5739,177.207572090961
16,"2018-09-10","2019-03-30","NLE00109020","CADZAND",51.3667,3.4,177.49105902785
16,"2018-09-10","2019-03-30","UKW00015037","UPPER HEYFORD",51.9333,-1.25,180.778913083652
16,"2018-09-10","2019-03-30","NLE00109296","ST KRUIS",51.2667,3.5,182.511196565939
31,"2017-03-15","2019-03-30","UKE00156880","WIGHT ST CATHERINES POINT",50.575,-1.2956,41.7517050814418
31,"2017-03-15","2019-03-30","UKE00105925","LECKFORD",51.1231,-1.4381,42.7242783399374
31,"2017-03-15","2019-03-30","UKE00105924","EVERTON",50.7417,-1.5739,45.9866832021947
31,"2017-03-15","2019-03-30","UKW00015040","GREENHAM",51.3833,-1.2833,59.8936353313213
31,"2017-03-15","2019-03-30","UKE00105923","HURN",50.7789,-1.8339,62.5149269532808
31,"2017-03-15","2019-03-30","UKM00003862","BOURNEMOUTH",50.78,-1.843,63.1194342238137
31,"2017-03-15","2019-03-30","UKE00156836","BOSCOMBE DOWN",51.1614,-1.7531,63.472355699698
